Study_ID|Celltype_1,Study_ID|Celltype_2,best_AUROC,Mean_AUROC,Match_type
Zeng|226,Macosko|Ex_Fibcd1_Psrc1_2,0.96956028773924,0.96956028773924,Reciprocal_top_hit
Zeng|918,Macosko|Ex_Fibcd1_Slc9a4_1,0.963605148432767,0.963605148432767,Reciprocal_top_hit
Zeng|4520,Macosko|Ex_Fibcd1_Slc9a4_2,0.9734699915313664,0.9734699915313664,Reciprocal_top_hit
Zeng|4365,Macosko|Ex_Fibcd1_Tacr3_1,0.963969179197938,0.963969179197938,Reciprocal_top_hit
Zeng|2317,Macosko|Ex_Fn1_Cfap58,0.9686551080290616,0.9686551080290616,Reciprocal_top_hit
Zeng|2382,Macosko|Ex_Foxb1_Arhgef38_2,0.9825620688882024,0.9825620688882024,Reciprocal_top_hit
Zeng|4926,Macosko|Ex_Foxb1_Arhgef38_5,0.9903151769642998,0.9903151769642998,Reciprocal_top_hit
Zeng|2462,Macosko|Ex_Foxb1_Ctxn3_1,0.9321505883759724,0.9321505883759724,Reciprocal_top_hit
Zeng|3669,Macosko|Ex_Foxb1_Ctxn3_3,0.9631250753630066,0.9631250753630066,Reciprocal_top_hit
Zeng|5075,Macosko|Ex_Foxb1_Plekhg6,0.966755873375162,0.966755873375162,Reciprocal_top_hit
Zeng|47,Macosko|Ex_Foxd3_Irx4_2,0.957376424228306,0.957376424228306,Reciprocal_top_hit
Zeng|1586,Macosko|Ex_Foxp2_C130074G19Rik_1,0.9648705604244624,0.9648705604244624,Reciprocal_top_hit
Zeng|610,Macosko|Ex_Foxp2_Esp24,0.9666801513613648,0.9666801513613648,Reciprocal_top_hit
Zeng|76,Macosko|Ex_Foxp2_Myzap,0.7570793381709953,0.7570793381709953,Reciprocal_top_hit
Zeng|3589,Macosko|Ex_Gabra6_Gabrd,0.9501177186394402,0.9501177186394402,Reciprocal_top_hit
Zeng|3758,Macosko|Ex_Gata3_Tgm6_2,0.9457677957309132,0.9457677957309132,Reciprocal_top_hit
Zeng|4407,Macosko|Ex_Gbx2_Adam18_2,0.9918316283078932,0.9918316283078932,Reciprocal_top_hit
Zeng|4305,Macosko|Ex_Gbx2_Wif1,0.9991542067640206,0.9991542067640206,Reciprocal_top_hit
Zeng|1035,Macosko|Ex_Hmx2_Abcc9_3,0.9511827122170824,0.9511827122170824,Reciprocal_top_hit
Zeng|1714,Macosko|Ex_Hmx2_Ppef1_4,0.9872986912916184,0.9872986912916184,Reciprocal_top_hit
Zeng|2613,Macosko|Ex_Hmx3_Npbwr1,0.9966043276264382,0.9966043276264382,Reciprocal_top_hit
Zeng|4144,Macosko|Ex_Hmx3_Sst,0.8918473359137661,0.8918473359137661,Reciprocal_top_hit
Zeng|4020,Macosko|Ex_Hoxb3_Ldlrap1_14,0.8000772977047345,0.8000772977047345,Reciprocal_top_hit
Zeng|2448,Macosko|Ex_Hoxb3_Ldlrap1_16,0.935353126137163,0.935353126137163,Reciprocal_top_hit
Zeng|3165,Macosko|Ex_Hoxb3_Ldlrap1_17,0.972451025377691,0.972451025377691,Reciprocal_top_hit
Zeng|4052,Macosko|Ex_Hoxb3_Ldlrap1_18,0.97778740330666,0.97778740330666,Reciprocal_top_hit
Zeng|4548,Macosko|Ex_Hoxb3_Ldlrap1_3,0.9730684455090134,0.9730684455090134,Reciprocal_top_hit
Zeng|3124,Macosko|Ex_Hoxb3_Ldlrap1_9,0.9746472406473032,0.9746472406473032,Reciprocal_top_hit
Zeng|24429,Macosko|Ex_Hoxb5_Epsti1_1,0.9952632463767148,0.9952632463767148,Reciprocal_top_hit
Zeng|4381,Macosko|Ex_Hoxb5_Klc3,0.9868198381994568,0.9868198381994568,Reciprocal_top_hit
Zeng|4655,Macosko|Ex_Hoxb5_Prdm16_2,0.9227263512121232,0.9227263512121232,Reciprocal_top_hit
Zeng|3701,Macosko|Ex_Hoxc4_Slc22a3,0.9908544597030328,0.9908544597030328,Reciprocal_top_hit
Zeng|3829,Macosko|Ex_Hoxc6_Dpp4,0.960836037940752,0.960836037940752,Reciprocal_top_hit
Zeng|141,Macosko|Ex_Hoxc6_Epsti1_2,0.9799609667947076,0.9799609667947076,Reciprocal_top_hit
Zeng|3816,Macosko|Ex_Hoxc6_Ppef1,0.9891818612293212,0.9891818612293212,Reciprocal_top_hit
Zeng|234,Macosko|Ex_Hoxc6_Rxfp2_2,0.9786309921955731,0.9786309921955731,Reciprocal_top_hit
Zeng|2693,Macosko|Ex_Iqcj_Ms4a15_1,0.9627350582102168,0.9627350582102168,Reciprocal_top_hit
